Days,Tray,Position,Species,Genotype,UniqueCode,Predation,Mortality,Cumulative,Coral
21,B097,C8,DLAB,DLAB01,273,N,0,N,Diploria labyrinthiformis
28,B097,C8,DLAB,DLAB01,273,NA,NA,N,Diploria labyrinthiformis
35,B097,C8,DLAB,DLAB01,273,NA,NA,N,Diploria labyrinthiformis
42,B097,C8,DLAB,DLAB01,273,Y,10,Y,Diploria labyrinthiformis
0,B097,C10,MCAV,MCAV05,274,N,0,N,Montastraea cavernosa
1,B097,C10,MCAV,MCAV05,274,Y,1,Y,Montastraea cavernosa
2,B097,C10,MCAV,MCAV05,274,NA,NA,Y,Montastraea cavernosa
7,B097,C10,MCAV,MCAV05,274,Y,15,Y,Montastraea cavernosa
14,B097,C10,MCAV,MCAV05,274,Y,15,Y,Montastraea cavernosa
21,B097,C10,MCAV,MCAV05,274,Y,10,Y,Montastraea cavernosa
28,B097,C10,MCAV,MCAV05,274,NA,NA,Y,Montastraea cavernosa
35,B097,C10,MCAV,MCAV05,274,NA,NA,Y,Montastraea cavernosa
42,B097,C10,MCAV,MCAV05,274,N,0,Y,Montastraea cavernosa
0,B097,E2,PCLI,PCLI02,275,N,0,N,Pseudodiploria clivosa
1,B097,E2,PCLI,PCLI02,275,N,0,N,Pseudodiploria clivosa
2,B097,E2,PCLI,PCLI02,275,NA,NA,N,Pseudodiploria clivosa
7,B097,E2,PCLI,PCLI02,275,Y,5,Y,Pseudodiploria clivosa
14,B097,E2,PCLI,PCLI02,275,Y,20,Y,Pseudodiploria clivosa
21,B097,E2,PCLI,PCLI02,275,NA,NA,Y,Pseudodiploria clivosa
28,B097,E2,PCLI,PCLI02,275,NA,NA,Y,Pseudodiploria clivosa
35,B097,E2,PCLI,PCLI02,275,NA,NA,Y,Pseudodiploria clivosa
42,B097,E2,PCLI,PCLI02,275,NA,NA,Y,Pseudodiploria clivosa
0,B097,E4,APAL,APAL02,276,N,0,N,Acropora palmata
1,B097,E4,APAL,APAL02,276,N,0,N,Acropora palmata
2,B097,E4,APAL,APAL02,276,NA,NA,N,Acropora palmata
7,B097,E4,APAL,APAL02,276,N,0,N,Acropora palmata
14,B097,E4,APAL,APAL02,276,N,0,N,Acropora palmata
21,B097,E4,APAL,APAL02,276,N,0,N,Acropora palmata
28,B097,E4,APAL,APAL02,276,NA,NA,N,Acropora palmata
35,B097,E4,APAL,APAL02,276,NA,NA,N,Acropora palmata
42,B097,E4,APAL,APAL02,276,N,0,N,Acropora palmata
0,B097,E6,ACER,ACER01,277,N,0,N,Acropora cervicornis
1,B097,E6,ACER,ACER01,277,N,0,N,Acropora cervicornis
2,B097,E6,ACER,ACER01,277,NA,NA,N,Acropora cervicornis
7,B097,E6,ACER,ACER01,277,N,0,N,Acropora cervicornis
14,B097,E6,ACER,ACER01,277,N,0,N,Acropora cervicornis
21,B097,E6,ACER,ACER01,277,N,0,N,Acropora cervicornis
28,B097,E6,ACER,ACER01,277,NA,NA,N,Acropora cervicornis
35,B097,E6,ACER,ACER01,277,NA,NA,N,Acropora cervicornis
42,B097,E6,ACER,ACER01,277,N,0,N,Acropora cervicornis
0,B097,E8,APAL,APAL01,278,N,0,N,Acropora palmata
1,B097,E8,APAL,APAL01,278,N,0,N,Acropora palmata
2,B097,E8,APAL,APAL01,278,NA,NA,N,Acropora palmata
7,B097,E8,APAL,APAL01,278,N,0,N,Acropora palmata
14,B097,E8,APAL,APAL01,278,N,0,N,Acropora palmata
21,B097,E8,APAL,APAL01,278,N,0,N,Acropora palmata
28,B097,E8,APAL,APAL01,278,NA,NA,N,Acropora palmata
35,B097,E8,APAL,APAL01,278,NA,NA,N,Acropora palmata
42,B097,E8,APAL,APAL01,278,N,0,N,Acropora palmata
0,B097,E10,OFAV,OFAV01,279,N,0,N,Orbicella faveolata
1,B097,E10,OFAV,OFAV01,279,Y,1,Y,Orbicella faveolata
2,B097,E10,OFAV,OFAV01,279,NA,NA,Y,Orbicella faveolata
7,B097,E10,OFAV,OFAV01,279,Y,1,Y,Orbicella faveolata
14,B097,E10,OFAV,OFAV01,279,N,0,Y,Orbicella faveolata
21,B097,E10,OFAV,OFAV01,279,N,0,Y,Orbicella faveolata
28,B097,E10,OFAV,OFAV01,279,NA,NA,Y,Orbicella faveolata
35,B097,E10,OFAV,OFAV01,279,NA,NA,Y,Orbicella faveolata
42,B097,E10,OFAV,OFAV01,279,Y,10,Y,Orbicella faveolata
0,B097,F1,PAST,PAST01,280,N,0,N,Porites astreoides
1,B097,F1,PAST,PAST01,280,N,0,N,Porites astreoides
2,B097,F1,PAST,PAST01,280,NA,NA,N,Porites astreoides
7,B097,F1,PAST,PAST01,280,Y,1,Y,Porites astreoides
14,B097,F1,PAST,PAST01,280,Y,10,Y,Porites astreoides
21,B097,F1,PAST,PAST01,280,Y,15,Y,Porites astreoides
28,B097,F1,PAST,PAST01,280,NA,NA,Y,Porites astreoides
35,B097,F1,PAST,PAST01,280,NA,NA,Y,Porites astreoides
42,B097,F1,PAST,PAST01,280,Y,10,Y,Porites astreoides
0,B097,F3,ACER,ACER02,281,N,0,N,Acropora cervicornis
1,B097,F3,ACER,ACER02,281,N,0,N,Acropora cervicornis
2,B097,F3,ACER,ACER02,281,NA,NA,N,Acropora cervicornis
7,B097,F3,ACER,ACER02,281,N,0,N,Acropora cervicornis
14,B097,F3,ACER,ACER02,281,N,0,N,Acropora cervicornis
21,B097,F3,ACER,ACER02,281,N,0,N,Acropora cervicornis
28,B097,F3,ACER,ACER02,281,NA,NA,N,Acropora cervicornis
35,B097,F3,ACER,ACER02,281,NA,NA,N,Acropora cervicornis
42,B097,F3,ACER,ACER02,281,N,0,N,Acropora cervicornis
0,B097,F7,PAST,PAST03,282,N,0,N,Porites astreoides
1,B097,F7,PAST,PAST03,282,N,0,N,Porites astreoides
2,B097,F7,PAST,PAST03,282,NA,NA,N,Porites astreoides
7,B097,F7,PAST,PAST03,282,Y,40,Y,Porites astreoides
14,B097,F7,PAST,PAST03,282,NA,NA,Y,Porites astreoides
21,B097,F7,PAST,PAST03,282,NA,NA,Y,Porites astreoides
28,B097,F7,PAST,PAST03,282,NA,NA,Y,Porites astreoides
35,B097,F7,PAST,PAST03,282,NA,NA,Y,Porites astreoides
42,B097,F7,PAST,PAST03,282,NA,NA,Y,Porites astreoides
0,B097,G2,PCLI,PCLI01,283,N,0,N,Pseudodiploria clivosa
1,B097,G2,PCLI,PCLI01,283,Y,5,Y,Pseudodiploria clivosa
2,B097,G2,PCLI,PCLI01,283,NA,NA,Y,Pseudodiploria clivosa
7,B097,G2,PCLI,PCLI01,283,Y,25,Y,Pseudodiploria clivosa
14,B097,G2,PCLI,PCLI01,283,NA,NA,Y,Pseudodiploria clivosa
21,B097,G2,PCLI,PCLI01,283,NA,NA,Y,Pseudodiploria clivosa
28,B097,G2,PCLI,PCLI01,283,NA,NA,Y,Pseudodiploria clivosa
35,B097,G2,PCLI,PCLI01,283,NA,NA,Y,Pseudodiploria clivosa
42,B097,G2,PCLI,PCLI01,283,NA,NA,Y,Pseudodiploria clivosa
0,B097,G4,MCAV,MCAV07,284,N,0,N,Montastraea cavernosa
1,B097,G4,MCAV,MCAV07,284,N,0,N,Montastraea cavernosa
2,B097,G4,MCAV,MCAV07,284,NA,NA,N,Montastraea cavernosa
7,B097,G4,MCAV,MCAV07,284,Y,5,Y,Montastraea cavernosa
14,B097,G4,MCAV,MCAV07,284,N,0,Y,Montastraea cavernosa
21,B097,G4,MCAV,MCAV07,284,NA,NA,Y,Montastraea cavernosa
28,B097,G4,MCAV,MCAV07,284,NA,NA,Y,Montastraea cavernosa
35,B097,G4,MCAV,MCAV07,284,NA,NA,Y,Montastraea cavernosa
42,B097,G4,MCAV,MCAV07,284,N,0,Y,Montastraea cavernosa
0,B097,G6,PAST,PAST02,285,N,0,N,Porites astreoides
1,B097,G6,PAST,PAST02,285,N,0,N,Porites astreoides
2,B097,G6,PAST,PAST02,285,NA,NA,N,Porites astreoides
7,B097,G6,PAST,PAST02,285,Y,50,Y,Porites astreoides
14,B097,G6,PAST,PAST02,285,NA,NA,Y,Porites astreoides
21,B097,G6,PAST,PAST02,285,NA,NA,Y,Porites astreoides
28,B097,G6,PAST,PAST02,285,NA,NA,Y,Porites astreoides
35,B097,G6,PAST,PAST02,285,NA,NA,Y,Porites astreoides
42,B097,G6,PAST,PAST02,285,NA,NA,Y,Porites astreoides
0,B097,G8,PPOR,PPOR01,286,N,0,N,Porites porites
1,B097,G8,PPOR,PPOR01,286,Y,1,Y,Porites porites
2,B097,G8,PPOR,PPOR01,286,NA,NA,Y,Porites porites
7,B097,G8,PPOR,PPOR01,286,Y,60,Y,Porites porites
14,B097,G8,PPOR,PPOR01,286,NA,60,Y,Porites porites
21,B097,G8,PPOR,PPOR01,286,NA,60,Y,Porites porites
28,B097,G8,PPOR,PPOR01,286,NA,60,Y,Porites porites
35,B097,G8,PPOR,PPOR01,286,NA,60,Y,Porites porites
42,B097,G8,PPOR,PPOR01,286,NA,60,Y,Porites porites
0,B097,G10,PSTR,PSTR05,287,N,5,N,Pseudodiploria strigosa
1,B097,G10,PSTR,PSTR05,287,Y,1,Y,Pseudodiploria strigosa
2,B097,G10,PSTR,PSTR05,287,NA,NA,Y,Pseudodiploria strigosa
7,B097,G10,PSTR,PSTR05,287,Y,100,Y,Pseudodiploria strigosa
14,B097,G10,PSTR,PSTR05,287,Y,100,Y,Pseudodiploria strigosa
21,B097,G10,PSTR,PSTR05,287,NA,100,Y,Pseudodiploria strigosa
28,B097,G10,PSTR,PSTR05,287,NA,100,Y,Pseudodiploria strigosa
35,B097,G10,PSTR,PSTR05,287,NA,100,Y,Pseudodiploria strigosa
42,B097,G10,PSTR,PSTR05,287,NA,100,Y,Pseudodiploria strigosa
0,B098,A2,PCLI,PCLI04,288,N,0,N,Pseudodiploria clivosa
1,B098,A2,PCLI,PCLI04,288,Y,1,Y,Pseudodiploria clivosa
2,B098,A2,PCLI,PCLI04,288,NA,NA,Y,Pseudodiploria clivosa
7,B098,A2,PCLI,PCLI04,288,Y,1,Y,Pseudodiploria clivosa
14,B098,A2,PCLI,PCLI04,288,Y,5,Y,Pseudodiploria clivosa
21,B098,A2,PCLI,PCLI04,288,NA,5,Y,Pseudodiploria clivosa
28,B098,A2,PCLI,PCLI04,288,NA,NA,Y,Pseudodiploria clivosa
35,B098,A2,PCLI,PCLI04,288,NA,NA,Y,Pseudodiploria clivosa
42,B098,A2,PCLI,PCLI04,288,NA,NA,Y,Pseudodiploria clivosa
0,B098,A4,DLAB,DLAB02,289,N,0,N,Diploria labyrinthiformis
1,B098,A4,DLAB,DLAB02,289,Y,1,Y,Diploria labyrinthiformis
2,B098,A4,DLAB,DLAB02,289,NA,NA,Y,Diploria labyrinthiformis
7,B098,A4,DLAB,DLAB02,289,N,0,Y,Diploria labyrinthiformis
14,B098,A4,DLAB,DLAB02,289,Y,10,Y,Diploria labyrinthiformis
21,B098,A4,DLAB,DLAB02,289,Y,10,Y,Diploria labyrinthiformis
28,B098,A4,DLAB,DLAB02,289,NA,NA,Y,Diploria labyrinthiformis
35,B098,A4,DLAB,DLAB02,289,NA,NA,Y,Diploria labyrinthiformis
42,B098,A4,DLAB,DLAB02,289,NA,NA,Y,Diploria labyrinthiformis
0,B098,A6,PAST,PAST02,290,N,0,N,Porites astreoides
1,B098,A6,PAST,PAST02,290,Y,1,Y,Porites astreoides
2,B098,A6,PAST,PAST02,290,NA,NA,Y,Porites astreoides
7,B098,A6,PAST,PAST02,290,N,100,Y,Porites astreoides
14,B098,A6,PAST,PAST02,290,N,100,Y,Porites astreoides
21,B098,A6,PAST,PAST02,290,NA,100,Y,Porites astreoides
28,B098,A6,PAST,PAST02,290,NA,100,Y,Porites astreoides
35,B098,A6,PAST,PAST02,290,NA,100,Y,Porites astreoides
42,B098,A6,PAST,PAST02,290,NA,100,Y,Porites astreoides
0,B098,A8,PCLI,PCLI04,291,N,0,N,Pseudodiploria clivosa
1,B098,A8,PCLI,PCLI04,291,N,0,N,Pseudodiploria clivosa
2,B098,A8,PCLI,PCLI04,291,NA,NA,N,Pseudodiploria clivosa
7,B098,A8,PCLI,PCLI04,291,N,0,N,Pseudodiploria clivosa
14,B098,A8,PCLI,PCLI04,291,N,0,N,Pseudodiploria clivosa
21,B098,A8,PCLI,PCLI04,291,NA,0,N,Pseudodiploria clivosa
28,B098,A8,PCLI,PCLI04,291,NA,NA,N,Pseudodiploria clivosa
35,B098,A8,PCLI,PCLI04,291,NA,NA,N,Pseudodiploria clivosa
42,B098,A8,PCLI,PCLI04,291,NA,NA,N,Pseudodiploria clivosa
0,B098,A10,PSTR,PSTR01,292,N,0,N,Pseudodiploria strigosa
1,B098,A10,PSTR,PSTR01,292,N,0,N,Pseudodiploria strigosa
2,B098,A10,PSTR,PSTR01,292,NA,NA,N,Pseudodiploria strigosa
7,B098,A10,PSTR,PSTR01,292,N,0,N,Pseudodiploria strigosa
14,B098,A10,PSTR,PSTR01,292,Y,2,Y,Pseudodiploria strigosa
21,B098,A10,PSTR,PSTR01,292,Y,0,Y,Pseudodiploria strigosa
28,B098,A10,PSTR,PSTR01,292,NA,NA,Y,Pseudodiploria strigosa
35,B098,A10,PSTR,PSTR01,292,NA,NA,Y,Pseudodiploria strigosa
42,B098,A10,PSTR,PSTR01,292,NA,NA,Y,Pseudodiploria strigosa
0,B098,B1,PCLI,PCLI02,293,N,0,N,Pseudodiploria clivosa
1,B098,B1,PCLI,PCLI02,293,Y,1,Y,Pseudodiploria clivosa
2,B098,B1,PCLI,PCLI02,293,NA,NA,Y,Pseudodiploria clivosa
7,B098,B1,PCLI,PCLI02,293,N,0,Y,Pseudodiploria clivosa
14,B098,B1,PCLI,PCLI02,293,N,0,Y,Pseudodiploria clivosa
21,B098,B1,PCLI,PCLI02,293,NA,0,Y,Pseudodiploria clivosa
28,B098,B1,PCLI,PCLI02,293,NA,NA,Y,Pseudodiploria clivosa
35,B098,B1,PCLI,PCLI02,293,NA,NA,Y,Pseudodiploria clivosa
42,B098,B1,PCLI,PCLI02,293,NA,NA,Y,Pseudodiploria clivosa
0,B098,B3,ACER,ACER03,294,N,0,N,Acropora cervicornis
1,B098,B3,ACER,ACER03,294,N,0,N,Acropora cervicornis
2,B098,B3,ACER,ACER03,294,NA,NA,N,Acropora cervicornis
7,B098,B3,ACER,ACER03,294,N,0,N,Acropora cervicornis
14,B098,B3,ACER,ACER03,294,N,0,N,Acropora cervicornis
21,B098,B3,ACER,ACER03,294,N,0,N,Acropora cervicornis
28,B098,B3,ACER,ACER03,294,NA,NA,N,Acropora cervicornis
35,B098,B3,ACER,ACER03,294,NA,NA,N,Acropora cervicornis
42,B098,B3,ACER,ACER03,294,NA,NA,N,Acropora cervicornis
0,B098,C2,APAL,APAL01,295,N,0,N,Acropora palmata
1,B098,C2,APAL,APAL01,295,N,0,N,Acropora palmata
2,B098,C2,APAL,APAL01,295,NA,NA,N,Acropora palmata
7,B098,C2,APAL,APAL01,295,N,0,N,Acropora palmata
14,B098,C2,APAL,APAL01,295,N,0,N,Acropora palmata
21,B098,C2,APAL,APAL01,295,N,0,N,Acropora palmata
28,B098,C2,APAL,APAL01,295,NA,NA,N,Acropora palmata
35,B098,C2,APAL,APAL01,295,NA,NA,N,Acropora palmata
42,B098,C2,APAL,APAL01,295,NA,NA,N,Acropora palmata
0,B098,C4,PAST,PAST01,296,N,0,N,Porites astreoides
1,B098,C4,PAST,PAST01,296,N,0,N,Porites astreoides
2,B098,C4,PAST,PAST01,296,NA,NA,N,Porites astreoides
7,B098,C4,PAST,PAST01,296,Y,100,Y,Porites astreoides
14,B098,C4,PAST,PAST01,296,Y,100,Y,Porites astreoides
21,B098,C4,PAST,PAST01,296,NA,100,Y,Porites astreoides
28,B098,C4,PAST,PAST01,296,NA,100,Y,Porites astreoides
35,B098,C4,PAST,PAST01,296,NA,100,Y,Porites astreoides
42,B098,C4,PAST,PAST01,296,NA,100,Y,Porites astreoides
0,B098,C6,MCAV,MCAV07,297,N,0,N,Montastraea cavernosa
1,B098,C6,MCAV,MCAV07,297,N,0,N,Montastraea cavernosa
2,B098,C6,MCAV,MCAV07,297,NA,NA,N,Montastraea cavernosa
7,B098,C6,MCAV,MCAV07,297,N,0,N,Montastraea cavernosa
14,B098,C6,MCAV,MCAV07,297,N,0,N,Montastraea cavernosa
21,B098,C6,MCAV,MCAV07,297,N,0,N,Montastraea cavernosa
28,B098,C6,MCAV,MCAV07,297,NA,NA,N,Montastraea cavernosa
35,B098,C6,MCAV,MCAV07,297,NA,NA,N,Montastraea cavernosa
42,B098,C6,MCAV,MCAV07,297,NA,NA,N,Montastraea cavernosa
0,B098,C8,OFAV,OFAV05,298,N,0,N,Orbicella faveolata
1,B098,C8,OFAV,OFAV05,298,Y,5,Y,Orbicella faveolata
2,B098,C8,OFAV,OFAV05,298,NA,NA,Y,Orbicella faveolata
7,B098,C8,OFAV,OFAV05,298,Y,8,Y,Orbicella faveolata
14,B098,C8,OFAV,OFAV05,298,Y,10,Y,Orbicella faveolata
21,B098,C8,OFAV,OFAV05,298,Y,10,Y,Orbicella faveolata
28,B098,C8,OFAV,OFAV05,298,NA,NA,Y,Orbicella faveolata
35,B098,C8,OFAV,OFAV05,298,NA,NA,Y,Orbicella faveolata
42,B098,C8,OFAV,OFAV05,298,NA,NA,Y,Orbicella faveolata
0,B098,C10,MCAV,MCAV06,299,N,0,N,Montastraea cavernosa
1,B098,C10,MCAV,MCAV06,299,N,0,N,Montastraea cavernosa
2,B098,C10,MCAV,MCAV06,299,NA,NA,N,Montastraea cavernosa
7,B098,C10,MCAV,MCAV06,299,N,0,N,Montastraea cavernosa
14,B098,C10,MCAV,MCAV06,299,N,0,N,Montastraea cavernosa
21,B098,C10,MCAV,MCAV06,299,N,0,N,Montastraea cavernosa
28,B098,C10,MCAV,MCAV06,299,NA,NA,N,Montastraea cavernosa
35,B098,C10,MCAV,MCAV06,299,NA,NA,N,Montastraea cavernosa
42,B098,C10,MCAV,MCAV06,299,NA,NA,N,Montastraea cavernosa
0,B098,E2,PSTR,PSTR05,300,N,0,N,Pseudodiploria strigosa
1,B098,E2,PSTR,PSTR05,300,Y,1,Y,Pseudodiploria strigosa
2,B098,E2,PSTR,PSTR05,300,NA,NA,Y,Pseudodiploria strigosa
7,B098,E2,PSTR,PSTR05,300,N,0,Y,Pseudodiploria strigosa
14,B098,E2,PSTR,PSTR05,300,Y,10,Y,Pseudodiploria strigosa
21,B098,E2,PSTR,PSTR05,300,Y,10,Y,Pseudodiploria strigosa
28,B098,E2,PSTR,PSTR05,300,NA,NA,Y,Pseudodiploria strigosa
35,B098,E2,PSTR,PSTR05,300,NA,NA,Y,Pseudodiploria strigosa
42,B098,E2,PSTR,PSTR05,300,NA,NA,Y,Pseudodiploria strigosa
0,B098,E4,MCAV,MCAV05,301,N,0,N,Montastraea cavernosa
1,B098,E4,MCAV,MCAV05,301,N,0,N,Montastraea cavernosa
2,B098,E4,MCAV,MCAV05,301,NA,NA,N,Montastraea cavernosa
7,B098,E4,MCAV,MCAV05,301,N,0,N,Montastraea cavernosa
14,B098,E4,MCAV,MCAV05,301,N,0,N,Montastraea cavernosa
21,B098,E4,MCAV,MCAV05,301,N,0,N,Montastraea cavernosa
28,B098,E4,MCAV,MCAV05,301,NA,NA,N,Montastraea cavernosa
35,B098,E4,MCAV,MCAV05,301,NA,NA,N,Montastraea cavernosa
42,B098,E4,MCAV,MCAV05,301,NA,NA,N,Montastraea cavernosa
0,B098,E6,PCLI,PCLI01,302,N,0,N,Pseudodiploria clivosa
1,B098,E6,PCLI,PCLI01,302,Y,5,Y,Pseudodiploria clivosa
2,B098,E6,PCLI,PCLI01,302,NA,NA,Y,Pseudodiploria clivosa
7,B098,E6,PCLI,PCLI01,302,Y,30,Y,Pseudodiploria clivosa
14,B098,E6,PCLI,PCLI01,302,NA,30,Y,Pseudodiploria clivosa
21,B098,E6,PCLI,PCLI01,302,NA,30,Y,Pseudodiploria clivosa
28,B098,E6,PCLI,PCLI01,302,NA,NA,Y,Pseudodiploria clivosa
35,B098,E6,PCLI,PCLI01,302,NA,NA,Y,Pseudodiploria clivosa
42,B098,E6,PCLI,PCLI01,302,NA,NA,Y,Pseudodiploria clivosa
0,B098,E8,DLAB,DLAB01,303,N,0,N,Diploria labyrinthiformis
1,B098,E8,DLAB,DLAB01,303,N,0,N,Diploria labyrinthiformis
2,B098,E8,DLAB,DLAB01,303,NA,NA,N,Diploria labyrinthiformis
7,B098,E8,DLAB,DLAB01,303,N,0,N,Diploria labyrinthiformis
14,B098,E8,DLAB,DLAB01,303,N,20,N,Diploria labyrinthiformis
21,B098,E8,DLAB,DLAB01,303,NA,NA,N,Diploria labyrinthiformis
28,B098,E8,DLAB,DLAB01,303,NA,NA,N,Diploria labyrinthiformis
35,B098,E8,DLAB,DLAB01,303,NA,NA,N,Diploria labyrinthiformis
42,B098,E8,DLAB,DLAB01,303,NA,NA,N,Diploria labyrinthiformis
0,B098,E10,PSTR,PSTR06,304,N,0,N,Pseudodiploria strigosa
1,B098,E10,PSTR,PSTR06,304,N,0,N,Pseudodiploria strigosa
2,B098,E10,PSTR,PSTR06,304,NA,NA,N,Pseudodiploria strigosa
7,B098,E10,PSTR,PSTR06,304,N,0,N,Pseudodiploria strigosa
14,B098,E10,PSTR,PSTR06,304,N,5,N,Pseudodiploria strigosa
21,B098,E10,PSTR,PSTR06,304,N,0,N,Pseudodiploria strigosa
28,B098,E10,PSTR,PSTR06,304,NA,0,N,Pseudodiploria strigosa
35,B098,E10,PSTR,PSTR06,304,NA,0,N,Pseudodiploria strigosa
42,B098,E10,PSTR,PSTR06,304,NA,0,N,Pseudodiploria strigosa
0,B098,F1,OFAV,OFAV01,305,N,0,N,Orbicella faveolata
1,B098,F1,OFAV,OFAV01,305,N,0,N,Orbicella faveolata
2,B098,F1,OFAV,OFAV01,305,NA,NA,N,Orbicella faveolata
7,B098,F1,OFAV,OFAV01,305,N,0,N,Orbicella faveolata
14,B098,F1,OFAV,OFAV01,305,N,5,N,Orbicella faveolata
21,B098,F1,OFAV,OFAV01,305,N,3,N,Orbicella faveolata
28,B098,F1,OFAV,OFAV01,305,NA,NA,N,Orbicella faveolata
35,B098,F1,OFAV,OFAV01,305,NA,NA,N,Orbicella faveolata
42,B098,F1,OFAV,OFAV01,305,NA,NA,N,Orbicella faveolata
0,B098,F3,ACER,ACER01,306,N,0,N,Acropora cervicornis
1,B098,F3,ACER,ACER01,306,N,0,N,Acropora cervicornis
2,B098,F3,ACER,ACER01,306,NA,NA,N,Acropora cervicornis
7,B098,F3,ACER,ACER01,306,N,0,N,Acropora cervicornis
14,B098,F3,ACER,ACER01,306,N,0,N,Acropora cervicornis
21,B098,F3,ACER,ACER01,306,N,0,N,Acropora cervicornis
28,B098,F3,ACER,ACER01,306,NA,NA,N,Acropora cervicornis
35,B098,F3,ACER,ACER01,306,NA,NA,N,Acropora cervicornis
42,B098,F3,ACER,ACER01,306,NA,NA,N,Acropora cervicornis
0,B098,F9,APAL,APAL02,307,N,0,N,Acropora palmata
1,B098,F9,APAL,APAL02,307,N,5,N,Acropora palmata
2,B098,F9,APAL,APAL02,307,NA,NA,N,Acropora palmata
7,B098,F9,APAL,APAL02,307,N,0,N,Acropora palmata
14,B098,F9,APAL,APAL02,307,N,2,N,Acropora palmata
21,B098,F9,APAL,APAL02,307,N,0,N,Acropora palmata
28,B098,F9,APAL,APAL02,307,NA,NA,N,Acropora palmata
35,B098,F9,APAL,APAL02,307,NA,NA,N,Acropora palmata
42,B098,F9,APAL,APAL02,307,NA,NA,N,Acropora palmata
0,B098,G4,PAST,PAST03,308,N,0,N,Porites astreoides
1,B098,G4,PAST,PAST03,308,Y,5,Y,Porites astreoides
2,B098,G4,PAST,PAST03,308,NA,NA,Y,Porites astreoides
7,B098,G4,PAST,PAST03,308,Y,100,Y,Porites astreoides
14,B098,G4,PAST,PAST03,308,Y,100,Y,Porites astreoides
21,B098,G4,PAST,PAST03,308,NA,100,Y,Porites astreoides
28,B098,G4,PAST,PAST03,308,NA,100,Y,Porites astreoides
35,B098,G4,PAST,PAST03,308,NA,100,Y,Porites astreoides
42,B098,G4,PAST,PAST03,308,NA,100,Y,Porites astreoides
0,B098,G6,OFAV,OFAV04,309,N,0,N,Orbicella faveolata
1,B098,G6,OFAV,OFAV04,309,N,0,N,Orbicella faveolata
2,B098,G6,OFAV,OFAV04,309,NA,NA,N,Orbicella faveolata
7,B098,G6,OFAV,OFAV04,309,N,0,N,Orbicella faveolata
14,B098,G6,OFAV,OFAV04,309,N,0,N,Orbicella faveolata
21,B098,G6,OFAV,OFAV04,309,N,0,N,Orbicella faveolata
28,B098,G6,OFAV,OFAV04,309,NA,NA,N,Orbicella faveolata
35,B098,G6,OFAV,OFAV04,309,NA,NA,N,Orbicella faveolata
42,B098,G6,OFAV,OFAV04,309,NA,NA,N,Orbicella faveolata
0,B098,G8,ACER,ACER02,310,N,0,N,Acropora cervicornis
1,B098,G8,ACER,ACER02,310,N,0,N,Acropora cervicornis
2,B098,G8,ACER,ACER02,310,NA,NA,N,Acropora cervicornis
7,B098,G8,ACER,ACER02,310,N,0,N,Acropora cervicornis
14,B098,G8,ACER,ACER02,310,N,0,N,Acropora cervicornis
21,B098,G8,ACER,ACER02,310,N,0,N,Acropora cervicornis
28,B098,G8,ACER,ACER02,310,NA,NA,N,Acropora cervicornis
35,B098,G8,ACER,ACER02,310,NA,NA,N,Acropora cervicornis
42,B098,G8,ACER,ACER02,310,NA,NA,N,Acropora cervicornis
0,B098,G10,PPOR,PPOR01,311,N,0,N,Porites porites
1,B098,G10,PPOR,PPOR01,311,Y,10,Y,Porites porites
2,B098,G10,PPOR,PPOR01,311,NA,10,Y,Porites porites
7,B098,G10,PPOR,PPOR01,311,N,100,Y,Porites porites
14,B098,G10,PPOR,PPOR01,311,NA,100,Y,Porites porites
21,B098,G10,PPOR,PPOR01,311,NA,100,Y,Porites porites
28,B098,G10,PPOR,PPOR01,311,NA,100,Y,Porites porites
35,B098,G10,PPOR,PPOR01,311,NA,100,Y,Porites porites
42,B098,G10,PPOR,PPOR01,311,NA,100,Y,Porites porites
0,B099,A2,OFAV,OFAV05,312,N,0,N,Orbicella faveolata
1,B099,A2,OFAV,OFAV05,312,Y,10,Y,Orbicella faveolata
2,B099,A2,OFAV,OFAV05,312,NA,NA,Y,Orbicella faveolata
7,B099,A2,OFAV,OFAV05,312,Y,15,Y,Orbicella faveolata
14,B099,A2,OFAV,OFAV05,312,Y,15,Y,Orbicella faveolata
21,B099,A2,OFAV,OFAV05,312,Y,15,Y,Orbicella faveolata
28,B099,A2,OFAV,OFAV05,312,NA,NA,Y,Orbicella faveolata
35,B099,A2,OFAV,OFAV05,312,NA,NA,Y,Orbicella faveolata
42,B099,A2,OFAV,OFAV05,312,NA,NA,Y,Orbicella faveolata
0,B099,A4,PAST,PAST03,313,N,0,N,Porites astreoides
1,B099,A4,PAST,PAST03,313,N,0,N,Porites astreoides
2,B099,A4,PAST,PAST03,313,NA,NA,N,Porites astreoides
7,B099,A4,PAST,PAST03,313,N,0,N,Porites astreoides
14,B099,A4,PAST,PAST03,313,N,20,N,Porites astreoides
21,B099,A4,PAST,PAST03,313,NA,NA,N,Porites astreoides
28,B099,A4,PAST,PAST03,313,NA,NA,N,Porites astreoides
35,B099,A4,PAST,PAST03,313,NA,NA,N,Porites astreoides
42,B099,A4,PAST,PAST03,313,NA,NA,N,Porites astreoides
0,B099,A6,PCLI,PCLI04,314,N,0,N,Pseudodiploria clivosa
1,B099,A6,PCLI,PCLI04,314,Y,5,Y,Pseudodiploria clivosa
2,B099,A6,PCLI,PCLI04,314,NA,NA,Y,Pseudodiploria clivosa
